title,year,tmdb_found,supabase_miss_reason
A Trip to the Moon,1902,True,not_in_db
The Skeleton Dance,1929,True,not_in_db
La Jetée,1962,True,not_in_db
Delirium,1979,True,year_mismatch
Michael Jackson's Thriller,1983,True,not_in_db
Mickey's Christmas Carol,1983,True,not_in_db
Michael Jackson: Bad,1987,True,not_in_db
Tarantella,1989,True,not_in_db
It,1990,True,year_mismatch
Carne,1991,True,not_in_db
Tiny at 20,1993,True,not_in_db
Die Hard With a Vengeance,1995,False,not_in_db
Dragon Ball Z: Fusion Reborn,1995,True,not_in_db
Magnetic Rose,1995,True,not_in_db
Neon Genesis Evangelion,1995,True,not_in_db
Stink Bomb,1995,True,not_in_db
Larceny,1996,True,year_mismatch
Doodlebug,1997,True,not_in_db
Cowboy Bebop,1998,True,not_in_db
EVANGELION: DEATH (TRUE)²,1998,True,not_in_db
Kite,1998,True,year_mismatch
Revival of Evangelion,1998,True,not_in_db
"Le Ciel, les Oiseaux et... ta mère !",1999,True,not_in_db
Star Wars: Episode I – The Phantom Menace,1999,False,not_in_db
Blood: The Last Vampire,2000,True,year_mismatch
Age of Bloom,2001,True,not_in_db
Band of Brothers,2001,True,not_in_db
Los,2001,True,not_in_db
The Follow,2001,True,not_in_db
Star Wars: Episode II – Attack of the Clones,2002,False,not_in_db
A Detective Story,2003,True,not_in_db
Beyond,2003,True,year_mismatch
Final Flight of the Osiris,2003,True,not_in_db
Kid's Story,2003,True,not_in_db
Matriculated,2003,True,not_in_db
Program,2003,True,not_in_db
Star Wars: Clone Wars,2003,False,not_in_db
The Second Renaissance Part I,2003,True,not_in_db
The Second Renaissance Part II,2003,True,not_in_db
World Record,2003,True,not_in_db
Paranoia Agent,2004,True,not_in_db
Once Upon a Time in the Oued,2005,True,not_in_db
Star Wars: Episode III – Revenge of the Sith,2005,False,not_in_db
Planet Earth,2006,True,not_in_db
Ani*Kuri15: Good Morning,2007,True,not_in_db
Hotel Chevalier,2007,True,not_in_db
Dead Set,2008,False,not_in_db
Tabarly,2008,True,not_in_db
We Were Once a Fairytale,2009,True,not_in_db
I'm Here,2010,True,not_in_db
Junior,2011,True,year_mismatch
Mission: Impossible – Ghost Protocol,2011,False,not_in_db
